-0.99919+0.04023i,-0.91377+0.40623i,-0.99911+0.042139i
0.3975-0.9176i,0.16054-0.98703i,0.36961-0.92919i
-0.17865-0.98391i,-0.4166-0.90909i,-0.30429-0.95258i
0.26848+0.96329i,-0.49303+0.87001i,0.39112+0.92034i
0.63831-0.76978i,0.92937-0.36914i,0.56702-0.82371i
0.41867-0.90814i,0.07802-0.99695i,0.54611-0.83771i
0.35016-0.93669i,0.31587-0.9488i,0.61935-0.78511i
0.67524-0.7376i,0.99251+0.12214i,0.67005-0.74232i
0.62574-0.78004i,0.84813-0.52979i,0.7328-0.68045i
0.96236+0.27177i,0.86151+0.50774i,0.98706-0.16038i
0.96268-0.27063i,0.088375-0.99609i,0.76329-0.64606i
0.71784-0.69621i,-0.57344-0.81925i,0.47678-0.87902i
0.72197-0.69192i,0.95961+0.28132i,0.87132-0.49071i
0.95731+0.28906i,-0.29104+0.95671i,0.93768+0.34749i
0.47513-0.87991i,0.46424-0.88571i,0.48625-0.87382i
0.36094-0.93259i,0.42647-0.9045i,0.39417-0.91904i
0.41644-0.90916i,0.58773-0.80906i,0.72651-0.68716i
-0.12509-0.99215i,0.42408-0.90563i,0.29521-0.95543i
0.31846-0.94794i,-0.1504+0.98863i,0.44709-0.89449i
0.32698-0.94503i,-0.40842-0.91279i,0.34342-0.93918i
0.44481-0.89563i,0.55653-0.83083i,0.73794-0.67487i
0.8263-0.56324i,0.99325-0.11599i,0.90962-0.41545i
0.6544-0.75615i,0.93685-0.34973i,0.64433-0.76475i
0.85301+0.5219i,0.96163+0.27434i,0.96025+0.27914i
0.10514-0.99446i,-0.59936-0.80048i,0.12691-0.99191i
0.67271-0.73991i,0.11449-0.99342i,0.6591-0.75206i
0.41352-0.91049i,0.99722+0.07456i,0.6939-0.72007i
0.98018+0.19809i,0.99679+0.080049i,0.98553+0.16951i
0.76736-0.64122i,0.89146-0.4531i,0.82299-0.56806i
0.022254-0.99975i,0.97813-0.20799i,0.56172-0.82733i
0.84126+0.54064i,0.93926+0.34322i,0.99965+0.026419i
0.19564-0.98068i,-0.38793-0.92169i,0.098026-0.99518i
0.48852+0.87255i,-0.95745+0.2886i,0.30378+0.95274i
-0.24947-0.96838i,0.46327-0.88622i,0.38577-0.92259i
0.30782-0.95144i,0.51368-0.85798i,0.37482-0.9271i
0.92551-0.37872i,0.99998-0.0064739i,0.98673-0.16238i
0.076847-0.99704i,0.016994-0.99986i,0.4618-0.88698i
0.98176-0.19012i,0.89484-0.44638i,0.9642+0.26519i
0.9861+0.16613i,0.99599+0.089512i,0.97811-0.20809i
0.1863-0.98249i,0.32074-0.94717i,0.47768-0.87853i
-0.0065367-0.99998i,0.23007-0.97317i,0.374-0.92743i
-0.35095-0.93639i,0.74518-0.66686i,0.19011-0.98176i
-0.6143+0.78907i,0.94266-0.33376i,0.61182+0.79099i
0.69165-0.72223i,0.96299-0.26953i,0.86255-0.50596i
-0.50838-0.86113i,-0.51998-0.85418i,-0.23602-0.97175i
0.88159-0.47202i,0.087484-0.99617i,0.67062-0.7418i
0.90338+0.42883i,0.95264-0.3041i,0.99719-0.074882i
0.85178-0.5239i,0.84011-0.54242i,0.82578-0.56399i
0.62409-0.78135i,-0.73058-0.68283i,0.36-0.93295i
0.20943+0.97782i,0.28527+0.95845i,0.91922+0.39374i
0.76553-0.6434i,0.94839-0.3171i,0.82192-0.5696i
0.98905-0.14761i,0.87005-0.49297i,0.95258-0.3043i
0.88451-0.46652i,0.99995+0.0098432i,0.78536-0.61903i
0.6502-0.75976i,0.64224-0.76651i,0.51667-0.85618i
0.28039-0.95989i,-0.24035-0.97069i,0.43658-0.89967i
