FC3,FC4,FCz
-0.0684500311418409,-0.333828415982993,-0.0225087143531297
-0.0716745531922532,-0.335921693310187,-0.0260294690567984
-0.0676140541174586,-0.3350605813248,-0.0242873771023556
-0.0739609283819562,-0.338642907844616,-0.0310357936252587
-0.0743204414898494,-0.33702757333403,-0.0320870148393672
-0.0740140057793587,-0.331056018393012,-0.0292216356115882
-0.0761776450454136,-0.332689662989029,-0.0297816845786349
-0.0743976491716405,-0.327993567994343,-0.0260489115460504
-0.0742805079543294,-0.298198279668627,-0.0251277833843828
-0.074456364673026,-0.279323080782528,-0.0246431506332712
-0.0783060649787748,-0.280865307499438,-0.0274828989416993
-0.078105089471588,-0.28101425163212,-0.0274195451459255
-0.0926255856106151,-0.290728323606859,-0.0386307415034002
-0.0888928421036191,-0.289300927942656,-0.0344459071674827
-0.0881583008663153,-0.285874680769443,-0.0332887794828813
-0.0872911506775793,-0.284278814057413,-0.0319537234972977
-0.0965821987791322,-0.288601850233991,-0.0365234584726917
-0.0945053918766832,-0.288265225869725,-0.0344239848752966
-0.0931533221196258,-0.28810967248574,-0.0357843945229931
-0.0935149340917995,-0.288862204946533,-0.0370637855951884
-0.0961486753734599,-0.288717256684998,-0.0382437293040699
-0.0956024640278496,-0.287220588989414,-0.0366736551123926
-0.0967224089528445,-0.295156413378499,-0.0427273926318976
-0.0967039074683504,-0.293568978003732,-0.0455071470634559
-0.0653261575069696,-0.265769306557409,-0.012263739769044
-0.0647141785793068,-0.263880962370408,-0.0104202904029936
-0.0630355293410466,-0.262549420778873,-0.00960719787673259
-0.0591060078341704,-0.262080041897798,0.00219853932441638
-0.0579101048170712,-0.258712781894566,0.00125696408863163
-0.0552976328045353,-0.255642193505636,0.00434714862245467
-0.0322536550500248,-0.244392564805404,0.0251093839547091
-0.0419765928356153,-0.247971556682895,0.0202183318906802
-0.0428439941066294,-0.247800955081049,0.0203164252157442
-0.0422817077696441,-0.246478605985841,0.0217891676652558
-0.0421801288845308,-0.246479287558821,0.0219013398506201
-0.0373550573458363,-0.243520548155955,0.0245186363247768
-0.00688091990785822,-0.229822513521162,0.0542170128936458
-0.00309783971940614,-0.228112186343223,0.0577215216448693
0.00544181375621899,-0.220752446931543,0.0677008081031931
-0.00358146593421405,-0.228253720786153,0.0539831062078123
-0.0034688339603236,-0.224550733120794,0.0554918444471194
-0.0029461903089788,-0.224506876543133,0.0559630265042532
-0.000905008625478931,-0.22727080154498,0.056196223631879
-0.000408652662931219,-0.227310733816977,0.0560950791098584
-0.000868035150897728,-0.227258146352445,0.0559321974345858
0.0126601356058862,-0.220497625343053,0.0627035710074323
0.0282440430487222,-0.220592859544241,0.080879589693463
0.0280541198013721,-0.218705022865226,0.0825140269413028
0.0293378435256175,-0.216958046172674,0.0832155236444492
0.0305769932436764,-0.213436548529918,0.0851461542720313
0.0305455256262844,-0.215384667951887,0.0850311730635362
0.0315903732476041,-0.212674131432835,0.0892163554662256
0.0323096430506734,-0.190086609934673,0.0927316159214229
0.0376783793740072,-0.187941803761523,0.100765127895046
0.59588544877012,0.451651793331856,0.668487163498525
0.597224528950953,0.449718601281533,0.66419447371501
0.588418450787452,0.436469377417054,0.676196839233175
0.583254022237063,0.4331716999453,0.689758252996828
0.55078094868152,0.402033893742956,0.681230707176736
0.569732076605621,0.401710785420567,0.683083709060083
0.556080791861199,0.404061903756399,0.684038688461974
0.550850949466005,0.423042492060239,0.659493306184461
0.571838172590731,0.433138729531328,0.682393520577336
0.574646789894023,0.418985863919016,0.659674025893623
0.55956230721384,0.409097582247409,0.646897933832833
0.566718107165037,0.401669384664832,0.644712159093467
0.544348525703791,0.369364956418448,0.615032839203837
0.568011021313294,0.397689539854359,0.639426363129043
0.576247098453097,0.41618723701866,0.641502194529791
0.571588111744809,0.417141443447952,0.638571173055998
0.547653043214549,0.410987861734532,0.614480121114057
0.559525550129205,0.418161824535231,0.614104322475543
0.584579543443559,0.417583280173673,0.609307529945966
0.584630293509979,0.411645673529073,0.576365085939793
0.570864824305287,0.401259597297042,0.552126553778075
0.563222060863239,0.390560529308981,0.528298131691413
0.541677243971356,0.393847872739276,0.513573061700525
0.546871089805134,0.425142847810616,0.518722953209541
0.534743612706926,0.405058208113115,0.515824502925041
0.523521210631828,0.40492926127222,0.499492487659718
0.512460965360208,0.389405615354126,0.506336823984428
0.529036343762864,0.407194892043567,0.525562794239588
0.505700237598488,0.377460823502896,0.509668796521276
0.532709530316364,0.397984149092365,0.531910839621587
0.507201153231794,0.384387045810421,0.536505249056386
0.505170534044472,0.371071672103883,0.534461773831034
0.506011259461822,0.360437057664511,0.510010142583474
0.526037804269837,0.3643666719222,0.534420612608453
0.536403871467957,0.360467985261994,0.551835804409549
0.536194552441972,0.351971001898266,0.539066977749969
0.527115502724269,0.352209141949086,0.536936082953462
0.547269930166322,0.363046617288386,0.551786222488378
0.547741265765945,0.376575050764916,0.546152900984913
0.551279194723651,0.358114355175025,0.545970390970701
0.548155076443489,0.358472817034103,0.538414239442771
0.546850844537233,0.367662108644801,0.543767096939576
0.55405929940548,0.359084100734602,0.544666914768662
0.522384883799082,0.32770928387505,0.523345615502106
0.51997783182103,0.303441200063752,0.525574984994411
0.534408025348577,0.270195494616395,0.551568826631231
0.520006815685371,0.247155556979938,0.543076584628598
0.512386822392072,0.219588062471871,0.543483772029132
0.479614675253565,0.188300867672143,0.521330222008604
0.502713959557695,0.159843839151741,0.539348497049952
0.487796599597606,0.159526561726781,0.544245969620996
0.48152932441829,0.14086596242837,0.541798709323456
0.453379695467583,0.143272342357286,0.518782152889779
